电流/mA     电压/V     功率/mW     背光/uA
157.700000     1.512160     23.222520     0.000000
158.100000     1.518400     23.470360     0.000000
159.800000     1.520480     23.579960     0.000000
160.000000     1.525680     23.866960     0.000000
161.600000     1.528800     23.979120     0.000000
162.100000     1.534000     24.305280     0.000000
163.700000     1.536080     24.412240     0.000000
164.300000     1.540240     24.678360     0.000000
165.700000     1.542320     24.795760     0.000000
166.200000     1.547520     25.085360     0.000000
167.600000     1.550640     25.296680     0.000000
167.700000     1.555840     25.541960     0.000000
169.600000     1.557920     25.672400     0.000000
170.100000     1.562080     25.930680     0.000000
171.800000     1.566240     26.105480     0.000000
172.100000     1.570400     26.262040     0.000000
173.700000     1.573520     26.809920     0.000000
174.300000     1.576640     26.716000     0.000000
175.400000     1.580800     26.922120     0.000000
176.000000     1.584960     27.141280     0.000000
177.200000     1.589120     27.357840     0.000000
178.300000     1.591200     27.519600     0.000000
179.900000     1.597440     27.751800     0.000000
180.600000     1.598480     27.845720     0.000000
181.400000     1.604720     28.150960     0.000000
182.200000     1.606800     28.344040     0.000000
183.800000     1.610960     28.573640     0.000000
184.600000     1.614080     28.683200     0.000000
185.400000     1.617200     29.025000     0.000000
186.500000     1.620320     29.142400     0.000000
187.100000     1.626560     29.450280     0.000000
188.100000     1.627600     29.559840     0.000000
189.300000     1.633840     29.841640     0.000000
190.700000     1.634880     29.914680     0.000000
191.300000     1.641120     30.196440     0.000000
192.300000     1.643200     30.313880     0.000000
193.500000     1.649440     30.634760     0.000000
194.800000     1.649440     30.744360     0.000000
195.500000     1.655680     31.067880     0.000000
196.800000     1.655680     31.130480     0.000000
197.300000     1.661920     31.469640     0.000000
198.400000     1.664000     31.597520     0.000000
199.100000     1.671280     31.897560     0.000000
200.200000     1.672320     31.991480     0.000000
201.700000     1.676480     32.304560     0.000000
202.400000     1.679600     32.343680     0.000000
203.400000     1.685840     32.677640     0.000000
204.300000     1.686880     32.789840     0.000000
205.600000     1.692080     33.139440     0.000000
206.500000     1.693120     33.183800     0.000000
207.800000     1.698320     33.494280     0.000000
208.600000     1.700400     33.596040     0.000000
209.500000     1.706640     33.890840     0.000000
210.400000     1.707680     34.003040     0.000000
211.500000     1.714960     34.347440     0.000000
212.400000     1.716000     34.417880     0.000000
213.800000     1.720160     34.707480     0.000000
214.600000     1.722240     34.882280     0.000000
215.300000     1.728480     35.156200     0.000000
216.200000     1.729520     35.268400     0.000000
217.500000     1.733680     35.576280     0.000000
218.400000     1.737840     35.672800     0.000000
219.400000     1.743040     35.931120     0.000000
220.300000     1.744080     36.017200     0.000000
221.500000     1.750320     36.382480     0.000000
222.700000     1.750320     36.468560     0.000000
223.200000     1.756560     36.779040     0.000000
224.700000     1.757600     36.865120     0.000000
225.100000     1.762800     37.183440     0.000000
226.500000     1.766960     37.300840     0.000000
227.100000     1.770080     37.640000     0.000000
228.300000     1.772160     37.733960     0.000000
229.200000     1.778400     37.929640     0.000000
230.800000     1.780480     38.052240     0.000000
231.100000     1.782560     38.347080     0.000000
232.600000     1.787760     38.534920     0.000000
233.100000     1.791920     38.798440     0.000000
234.800000     1.794000     38.892360     0.000000
235.300000     1.798160     39.187160     0.000000
236.400000     1.801280     39.330680     0.000000
236.900000     1.805440     39.622880     0.000000
238.200000     1.807520     39.732480     0.000000
239.100000     1.812720     40.016840     0.000000
240.700000     1.814800     40.042920     0.000000
241.000000     1.820000     40.410800     0.000000
242.400000     1.823120     40.491680     0.000000
243.200000     1.826240     40.885640     0.000000
244.300000     1.828320     40.940440     0.000000
245.400000     1.833520     41.256120     0.000000
246.800000     1.835600     41.284840     0.000000
247.100000     1.841840     41.605760     0.000000
248.200000     1.842880     41.720560     0.000000
249.100000     1.849120     41.991880     0.000000
250.500000     1.849120     42.106680     0.000000
251.500000     1.855360     42.461520     0.000000
252.700000     1.855360     42.505840     0.000000
253.400000     1.862640     42.868520     0.000000
254.100000     1.863680     42.978080     0.000000
255.400000     1.868880     43.314640     0.000000
256.500000     1.869920     43.426840     0.000000
257.500000     1.876160     43.687760     0.000000
258.300000     1.877200     43.763400     0.000000
259.300000     1.884480     44.113040     0.000000
260.800000     1.884480     44.204320     0.000000
261.500000     1.889680     44.546120     0.000000
262.800000     1.889680     44.647880     0.000000
263.200000     1.895920     44.976600     0.000000
264.600000     1.900080     45.000080     0.000000
264.800000     1.903200     45.378400     0.000000
266.800000     1.905280     45.420160     0.000000
267.000000     1.910480     45.728000     0.000000
268.600000     1.913600     45.816720     0.000000
269.100000     1.916720     46.111520     0.000000
270.500000     1.920880     46.302000     0.000000
271.300000     1.922960     46.474200     0.000000
272.600000     1.925040     46.675080     0.000000
273.100000     1.929200     46.855120     0.000000
274.200000     1.934400     47.147320     0.000000
275.100000     1.936480     47.280400     0.000000
276.400000     1.941680     47.528240     0.000000
277.400000     1.942720     47.567360     0.000000
278.400000     1.947920     47.914360     0.000000
279.300000     1.950000     48.005680     0.000000
280.500000     1.955200     48.331840     0.000000
281.300000     1.956240     48.391840     0.000000
282.100000     1.961440     48.723160     0.000000
283.900000     1.962480     48.759720     0.000000
284.300000     1.968720     49.036280     0.000000
285.500000     1.969760     49.111920     0.000000
286.100000     1.974960     49.414560     0.000000
288.400000     1.978080     49.563280     0.000000
288.000000     1.982240     49.839840     0.000000
289.600000     1.983280     49.954640     0.000000
290.000000     1.986400     50.165960     0.000000
291.600000     1.992640     50.319920     0.000000
291.800000     1.994720     50.557320     0.000000
293.700000     1.998880     50.737360     0.000000
293.700000     2.002000     50.810400     0.000000
295.500000     2.005120     51.053040     0.000000
296.200000     2.008240     51.261760     0.000000
297.600000     2.011360     51.473080     0.000000
298.400000     2.015520     51.640080     0.000000
299.800000     2.018640     51.822720     0.000000
300.300000     2.020720     51.997520     0.000000
301.500000     2.025920     52.245360     0.000000
302.100000     2.025920     52.347120     0.000000
303.400000     2.032160     52.615840     0.000000
304.500000     2.032160     52.675880     0.000000
305.100000     2.039440     52.905440     0.000000
306.300000     2.040480     53.020240     0.000000
307.400000     2.046720     53.359440     0.000000
308.300000     2.046720     53.432480     0.000000
309.700000     2.051920     53.675120     0.000000
310.300000     2.052960     53.737720     0.000000
311.400000     2.059200     54.100400     0.000000
312.300000     2.060240     54.186480     0.000000
313.400000     2.066480     54.452600     0.000000
314.400000     2.067520     54.525640     0.000000
315.400000     2.071680     54.825680     0.000000
316.300000     2.071680     54.906560     0.000000
317.300000     2.078960     55.201400     0.000000
318.500000     2.077920     55.245760     0.000000
319.000000     2.084160     55.524920     0.000000
320.800000     2.085200     55.616240     0.000000
321.000000     2.091440     55.861480     0.000000
322.400000     2.092480     55.958040     0.000000
322.900000     2.097680     56.218920     0.000000
324.800000     2.099760     56.372840     0.000000
325.100000     2.102880     56.581560     0.000000
326.500000     2.106000     56.706800     0.000000
327.000000     2.110160     56.920760     0.000000
328.400000     2.112240     57.139920     0.000000
329.500000     2.116400     57.252080     0.000000
330.300000     2.120560     57.497360     0.000000
331.200000     2.121600     57.539080     0.000000
332.400000     2.126800     57.867840     0.000000
333.500000     2.127840     57.883480     0.000000
334.400000     2.133040     58.147000     0.000000
335.500000     2.132000     58.233080     0.000000
336.400000     2.139280     58.569640     0.000000
337.400000     2.140320     58.637480     0.000000
338.400000     2.144480     58.903600     0.000000
339.600000     2.146560     58.885360     0.000000
340.100000     2.152800     59.237560     0.000000
341.700000     2.154880     59.263640     0.000000
342.000000     2.158000     59.584560     0.000000
343.500000     2.160080     59.709800     0.000000
344.100000     2.163200     59.926360     0.000000
345.300000     2.168400     60.051600     0.000000
345.900000     2.169440     60.182040     0.000000
347.500000     2.174640     60.482080     0.000000
348.400000     2.174640     60.469040     0.000000
349.600000     2.180880     60.803000     0.000000
350.900000     2.180880     60.831680     0.000000
351.000000     2.186080     61.170880     0.000000
352.300000     2.188160     61.204760     0.000000
353.000000     2.192320     61.408280     0.000000
354.400000     2.194400     61.470880     0.000000
354.900000     2.198560     61.718760     0.000000
356.700000     2.201680     61.917040     0.000000
357.200000     2.204800     62.057920     0.000000
358.700000     2.207920     62.196200     0.000000
359.000000     2.211040     62.378840     0.000000
360.200000     2.213120     62.543200     0.000000
361.100000     2.216240     62.611040     0.000000
362.200000     2.221440     62.871960     0.000000
363.200000     2.221440     62.887600     0.000000
364.300000     2.227680     63.234600     0.000000
365.500000     2.227680     63.265920     0.000000
366.100000     2.231840     63.479840     0.000000
367.700000     2.232880     63.565960     0.000000
367.600000     2.239120     63.868600     0.000000
369.400000     2.241200     63.912960     0.000000
369.800000     2.244320     64.103400     0.000000
371.400000     2.248480     64.231240     0.000000
372.100000     2.250560     64.429560     0.000000
373.600000     2.253680     64.622600     0.000000
374.300000     2.255760     64.700880     0.000000
375.500000     2.259920     64.948720     0.000000
376.000000     2.262000     65.058320     0.000000
377.100000     2.266160     65.269640     0.000000
378.600000     2.267200     65.285320     0.000000
379.100000     2.271360     65.504480     0.000000
380.400000     2.273440     65.462720     0.000000
380.800000     2.278640     65.864520     0.000000
382.700000     2.279680     65.976680     0.000000
382.700000     2.282800     66.141080     0.000000
384.500000     2.285920     66.295000     0.000000
385.100000     2.289040     66.370680     0.000000
386.100000     2.293200     66.574160     0.000000
387.000000     2.295280     66.561120     0.000000
388.400000     2.299440     66.887240     0.000000
389.800000     2.298400     66.939440     0.000000
389.900000     2.303600     67.231640     0.000000
391.500000     2.306720     67.260320     0.000000
391.900000     2.309840     67.437760     0.000000
393.700000     2.312960     67.591680     0.000000
394.000000     2.316080     67.649080     0.000000
395.600000     2.319200     67.891720     0.000000
396.300000     2.320240     67.964760     0.000000
397.500000     2.324400     68.225680     0.000000
398.200000     2.326480     68.251760     0.000000
398.800000     2.330640     68.601360     0.000000
400.700000     2.331680     68.489200     0.000000
400.700000     2.336880     68.763160     0.000000
402.600000     2.338960     68.836200     0.000000
403.100000     2.342080     69.008400     0.000000
404.500000     2.345200     69.138840     0.000000
405.300000     2.347280     69.224920     0.000000
406.600000     2.351440     69.428440     0.000000
407.200000     2.350400     69.467560     0.000000
408.300000     2.356640     69.684120     0.000000
409.200000     2.357680     69.791080     0.000000
410.400000     2.363920     69.955480     0.000000
411.300000     2.362880     69.869360     0.000000
412.400000     2.368080     70.302480     0.000000
413.300000     2.368080     70.323320     0.000000
414.000000     2.373280     70.576400     0.000000
415.100000     2.374320     70.597280     0.000000
416.300000     2.379520     70.806000     0.000000
417.500000     2.379520     70.897320     0.000000
418.600000     2.384720     70.986040     0.000000
419.500000     2.384720     71.150400     0.000000
419.700000     2.389920     71.278240     0.000000
421.800000     2.390960     71.377400     0.000000
421.700000     2.396160     71.614800     0.000000
423.300000     2.399280     71.651320     0.000000
423.900000     2.401360     71.849640     0.000000
425.700000     2.402400     71.954000     0.000000
425.900000     2.406560     72.144440     0.000000
427.300000     2.408640     72.311400     0.000000
428.000000     2.411760     72.374040     0.000000
429.300000     2.414880     72.580160     0.000000
430.200000     2.418000     72.593200     0.000000
431.500000     2.420080     72.859320     0.000000
432.200000     2.422160     72.674080     0.000000
433.300000     2.426320     73.130640     0.000000
434.200000     2.427360     73.206320     0.000000
435.300000     2.432560     73.289800     0.000000
436.600000     2.432560     73.198480     0.000000
436.800000     2.437760     73.994240     0.000000
438.900000     2.437760     73.686400     0.000000
438.800000     2.442960     73.801160     0.000000
440.700000     2.442960     73.790760     0.000000
440.500000     2.448160     74.213400     0.000000
442.600000     2.450240     74.213400     0.000000
443.000000     2.453360     74.281240     0.000000
444.500000     2.455440     74.466480     0.000000
445.200000     2.457520     74.461280     0.000000
446.500000     2.462720     74.698680     0.000000
447.200000     2.459600     74.740440     0.000000
448.200000     2.467920     74.902200     0.000000
449.100000     2.466880     74.946520     0.000000
450.500000     2.472080     75.251800     0.000000
451.000000     2.473120     75.238760     0.000000
452.200000     2.476240     75.473560     0.000000
453.200000     2.479360     75.424000     0.000000
454.000000     2.482480     75.739680     0.000000
455.700000     2.482480     75.771000     0.000000
455.800000     2.487680     75.935360     0.000000
457.600000     2.488720     75.901440     0.000000
457.900000     2.492880     76.405000     0.000000
459.700000     2.494960     76.793720     0.000000
459.800000     2.498080     77.018120     0.000000
461.400000     2.500160     76.835480     0.000000
461.900000     2.502240     77.020720     0.000000
463.400000     2.506400     76.984200     0.000000
464.100000     2.509520     76.801560     0.000000
465.000000     2.513680     77.205960     0.000000
466.400000     2.512640     77.062480     0.000000
467.200000     2.516800     77.195520     0.000000
467.900000     2.517840     77.263360     0.000000
469.200000     2.522000     77.472080     0.000000
470.600000     2.524080     77.341640     0.000000
471.400000     2.529280     78.194800     0.000000
472.600000     2.525120     77.782560     0.000000
473.000000     2.531360     78.267840     0.000000
474.600000     2.535520     79.029680     0.000000
474.800000     2.534480     78.523520     0.000000
476.400000     2.538640     78.103480     0.000000
477.000000     2.541760     79.308840     0.000000
478.600000     2.541760     79.572360     0.000000
478.700000     2.544880     78.455680     0.000000
480.600000     2.548000     79.927160     0.000000
480.800000     2.550080     80.068080     0.000000
482.500000     2.552160     79.721080     0.000000
483.000000     2.555280     79.843680     0.000000
484.200000     2.558400     79.081840     0.000000
485.000000     2.559440     79.241000     0.000000
486.300000     2.564640     80.623800     0.000000
487.600000     2.564640     80.464640     0.000000
487.800000     2.567760     80.842960     0.000000
489.800000     2.569840     80.892520     0.000000
489.800000     2.574000     81.090800     0.000000
491.600000     2.575040     81.083000     0.000000
491.800000     2.579200     81.304760     0.000000
493.500000     2.580240     81.330840     0.000000
493.800000     2.582320     81.500440     0.000000
495.600000     2.586480     81.474320     0.000000
495.600000     2.589600     81.732640     0.000000
497.800000     2.590640     81.782200     0.000000
497.700000     2.592720     81.938760     0.000000
499.700000     2.595840     81.962240     0.000000
